State,County,Date Detected,HPAI Strain,Type of Wild Bird,Sampling Source
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5N1,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5N1,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5N1,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Hyde,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5N1,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5N1,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/8/2022,EA H5N1,Gadwall,Hunter harvest NWDP
Delaware,Kent,2/16/2022,EA H5N1,Northern shoveler,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
Delaware,Kent,2/16/2022,EA H5,American black duck,Hunter harvest NWDP
Delaware,Kent,2/16/2022,EA H5,Gadwall,Hunter harvest NWDP
Delaware,Kent,2/16/2022,EA H5,Northern shoveler,Hunter harvest NWDP
Delaware,Kent,2/16/2022,EA H5,Northern shoveler,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,Northern pintail,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,Mallard,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Currituck,2/16/2022,EA H5N1,Mallard,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5,Mallard,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5N1,Mallard,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5N1,Mallard,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5N1,Mallard,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5N1,Mallard,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Grafton,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Grafton,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Grafton,2/16/2022,EA H5,Mallard,Live bird NWDP
North Carolina,Hyde,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,Gadwall,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,Gadwall,Hunter harvest NWDP
Connecticut,New London,2/16/2022,EA H5,Mallard,Live bird NWDP
Virginia,Virginia Beach,2/16/2022,EA H5,Gadwall,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,Northern shoveler,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Craven,2/16/2022,EA H5N1,Wood duck,Hunter harvest NWDP
Georgia,Hart,2/16/2022,EA H5N1,Gadwall,Hunter harvest NWDP
Georgia,Hart,2/16/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Beaufort,2/16/2022,EA H5,Wood duck,Hunter harvest NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,American green-winged teal,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,Gadwall,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,American wigeon,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,Mallard,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,Gadwall,Hunter harvest NWDP
North Carolina,Pamlico,2/16/2022,EA H5,Mallard,Hunter harvest NWDP
North Carolina,Currituck,2/16/2022,EA H5,Northern shoveler,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5,Northern shoveler,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5,Northern shoveler,Live bird NWDP
North Carolina,Currituck,2/16/2022,EA H5N1,Northern shoveler,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
Connecticut,Middlesex,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5N1,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
New Hampshire,Rockingham,2/16/2022,EA H5,Mallard,Live bird NWDP
North Carolina,Hyde,2/16/2022,EA H5N1,Snow goose,Wild bird mortality USGS/FWS
Kentucky,Ballard,2/17/2022,EA H5N1,Snow goose,Wild bird mortality KDFW/SCWDS
Kentucky,Ballard,2/17/2022,EA H5N1,Snow goose,Wild bird mortality KDFW/SCWDS
North Carolina,Carteret,2/17/2022,EA H5,Redhead duck,Wild bird mortality NCWRC/SCWDS
Florida,Brevard,2/17/2022,EA/AM H5N1,Black vulture,Wild bird mortality 
Florida,Brevard,2/17/2022,EA/AM H5N1,Black vulture,Wild bird mortality 
Kentucky,Henderson,2/23/2022,EA H5,Gadwall,Hunter harvest NWDP
Kentucky,Henderson,2/23/2022,EA H5,Gadwall,Hunter harvest NWDP
Kentucky,Henderson,2/23/2022,EA H5,Gadwall,Hunter harvest NWDP
Kentucky,Henderson,2/23/2022,EA H5,Gadwall,Hunter harvest NWDP
Maine,Washington,2/23/2022,EA H5,American black duck,Live bird NWDP
Maine,Washington,2/23/2022,EA H5,American black duck,Live bird NWDP
Maine,Washington,2/23/2022,EA H5,American black duck,Live bird NWDP
Maine,Washington,2/23/2022,EA H5N1,American black duck,Live bird NWDP
Maine,Washington,2/23/2022,EA H5,American black duck,Live bird NWDP
Maine,Washington,2/23/2022,EA H5N1,American black duck,Live bird NWDP
Kentucky,Breckinridge,2/23/2022,EA H5N1,Mallard,Live bird NWDP
Kentucky,Breckinridge,2/23/2022,EA H5N1,Mallard,Live bird NWDP
Kentucky,Breckinridge,2/23/2022,EA H5,Mallard,Live bird NWDP
Kentucky,Breckinridge,2/23/2022,EA H5N1,Mallard,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Connecticut,New Haven,2/23/2022,EA H5,American black duck,Live bird NWDP
Alabama,Limestone,2/23/2022,EA H5N1,American wigeon,Hunter harvest NWDP
New Jersey,Cape May,2/23/2022,EA H5N1,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5N1,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5N1,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5N1,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5N1,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5N1,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
New Jersey,Cape May,2/23/2022,EA H5,Mallard,Live bird NWDP
Tennessee,Obion,3/1/2022,EA H5,Wood duck,Hunter harvest NWDP
Tennessee,Obion,3/1/2022,EA H5N1,Wood duck,Hunter harvest NWDP
Massachusetts,Barnstable,3/1/2022,EA H5N1,Canada goose,Wild bird mortality MDFW/USGS (5)
Massachusetts,Barnstable,3/1/2022,EA H5N1,Canada goose,Wild bird mortality MDFW/USGS (5)
Delaware,Kent,2/17/2022,EA H5N1,Canada goose,Wild bird mortality USGS/FWS (2)
New York,Suffolk,2/26/2022,EA H5N1,Sanderling,Wild bird mortality NYSDEC (6)
New Hampshire,Strafford,3/2/2022,EA H5N1,Canada goose,Wild bird mortality NWDP/NHFGD/USGS (7)
New Hampshire,Strafford,3/2/2022,EA H5N1,Canada goose,Wild bird mortality NWDP/NHFGD/USGS (7)
New Hampshire,Strafford,3/2/2022,EA H5N1,Canada goose,Wild bird mortality NWDP/NHFGD/USGS (7)
Florida,Brevard,2/26/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality FFWCC/USGS (8)
Nebraska,Lancaster,3/6/2022,EA/AM H5N1,Ross's goose,Wild bird mortality NDA (9)
New Hampshire,Rockingham,3/1/2022,EA H5N1,Mallard,Live bird NWDP
Florida,Brevard,3/4/2022,EA H5N1,Lesser scaup,Wild bird mortality FFWCC/SCWDS (10)
Florida,Brevard,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality FFWCC/SCWDS (10)
Florida,Brevard,3/4/2022,EA H5,Lesser scaup,Wild bird mortality FFWCC/SCWDS (10)
Florida,Brevard,3/4/2022,EA/AM H5N1,Bald eagle,Wild bird mortality USFWS/SCWDS (11)
Florida,Brevard,3/4/2022,EA/AM H5N1,Bald eagle,Wild bird mortality USFWS/SCWDS (11)
North Carolina,Wake,3/4/2022,EA/AM H5N1,Red-shouldered hawk,Wild bird mortality NCWRC/SCWDS (4)
North Carolina,Dare,3/4/2022,EA/AM H5N1,Bald eagle,Wild bird mortality NCWRC/SCWDS (4)
Georgia,Glynn,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Georgia,Camden,3/4/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality GDNR/SCWDS (12)
Missouri,Buchanan,3/8/2022,EA H5,Snow goose,Agency harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5N1,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Ross's goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
Missouri,Chariton,3/8/2022,EA H5,Snow goose,Hunter harvest NWDP
